Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
PE-1.1 Análisis Principios Shneiderman,Matriz de Evaluación Completa,Completa matriz evaluando los 3 principios de Shneiderman con capturas de pantalla y evidencia específica,false,Excelente,Matriz completa con evaluación correcta de los 3 principios y evidencia visual clara,1.25,Bueno,Matriz con evaluación de 2 principios o evidencia parcial,0.8,Insuficiente,Matriz incompleta o evaluación incorrecta de principios,0
PE-1.1 Análisis Principios Shneiderman,Propuestas de Mejora y Participación,Propone mejoras específicas para problemas identificados y participa activamente en presentación grupal,false,Excelente,Propuestas de mejora específicas y técnicas con participación activa,1,Bueno,Propuestas básicas con participación moderada,0.6,Insuficiente,Propuestas vagas o sin participación grupal,0
